Date,Description,Amount,Balance
03/10/2024,BLUE BOTTLE COFFEE SF,-12.50,9085.89
03/12/2024,STEAM GAMES PURCHASE,-59.99,9025.90
03/15/2024,CONSULTING PAYMENT - INVOICE #245,1200.00,10225.90
03/17/2024,VERIZON WIRELESS BILL,-85.00,10140.90
03/19/2024,PANERA BREAD #2847,-34.75,10106.15
03/21/2024,PETCO #2847 SAN FRANCISCO,-67.89,10038.26
03/23/2024,NORDSTROM SAN FRANCISCO,-156.00,9882.26
03/25/2024,76 GAS STATION 234589,-48.90,9833.36
03/27/2024,WHOLE FOODS MKT #10234,-95.43,9737.93
03/29/2024,SF PARKING METER,-15.00,9722.93
04/01/2024,PROPERTY MGMT - RENT PAYMENT,-1200.00,8522.93
04/02/2024,PAYROLL DEPOSIT - ACME CORP,3500.00,12022.93
04/04/2024,FERRY PLAZA FARMERS MARKET,-45.60,11977.33
04/06/2024,YOUTUBE PREMIUM SUBSCRIPTION,-11.99,11965.34
04/08/2024,ACE HARDWARE #234,-78.45,11886.89
04/10/2024,IN-N-OUT BURGER #234,-18.99,11867.90
04/12/2024,DIVIDEND - VANGUARD FUND,85.50,11953.40
04/15/2024,IRS TAX REFUND DEPOSIT,850.00,12803.40
04/17/2024,SF WATER POWER SEWER,-45.00,12758.40
04/19/2024,BARBER SHOP SF,-35.00,12723.40
04/21/2024,BEST BUY #2847 SAN FRANCISCO,-299.99,12423.41
04/23/2024,TRADER JOES #234 SAN FRANCISCO,-112.34,12311.07
04/25/2024,TICKETMASTER - CONCERT TICKETS,-125.00,12186.07
04/27/2024,SHELL OIL 34589234,-55.20,12130.87
04/29/2024,ZUNI CAFE SAN FRANCISCO,-89.50,12041.37
05/01/2024,PROPERTY MGMT - RENT PAYMENT,-1200.00,10841.37
05/02/2024,PAYROLL DEPOSIT - ACME CORP,3500.00,14341.37
05/04/2024,WHOLE FOODS MKT #10234,-98.76,14242.61
05/06/2024,TOUCHLESS CAR WASH SF,-25.00,14217.61
05/08/2024,STAPLES #2847 SAN FRANCISCO,-67.89,14149.72
05/10/2024,BUSINESS LUNCH - EXPENSE,-45.00,14104.72
05/12/2024,BONUS PAYMENT - ACME CORP,500.00,14604.72
05/15/2024,FREELANCE PAYMENT - FIVERR,675.00,15279.72
05/17/2024,CREDIT CARD PAYMENT,-450.00,14829.72
05/19/2024,WALGREENS #2847 SAN FRANCISCO,-28.99,14800.73
05/21/2024,VCA ANIMAL HOSPITAL,-150.00,14650.73
05/23/2024,SAFEWAY #2847 SAN FRANCISCO,-87.65,14563.08
05/25/2024,STREAMING SERVICES BUNDLE,-25.97,14537.11
05/27/2024,CHEVRON 234589234,-51.40,14485.71
05/29/2024,BIRTHDAY GIFT - AMAZON,-75.00,14410.71
06/01/2024,PROPERTY MGMT - RENT PAYMENT,-1200.00,13210.71
06/02/2024,PAYROLL DEPOSIT - ACME CORP,3500.00,16710.71
06/05/2024,SAFEWAY #2847 SAN FRANCISCO,-95.23,16615.48
06/08/2024,SHELL OIL 34589234,-48.75,16566.73
06/10/2024,SIDE GIG PAYMENT - TASKRABBIT,250.00,16816.73
06/12/2024,NETFLIX.COM SUBSCRIPTION,-15.99,16800.74
06/15/2024,FREELANCE PAYMENT - FIVERR,425.00,17225.74
06/18/2024,TARGET T-2847 SAN FRANCISCO,-87.45,17138.29
06/20/2024,UBER *TRIP HELP.UBER.COM,-19.50,17118.79
06/22/2024,CASHBACK REWARD - CREDIT CARD,35.00,17153.79
06/25/2024,WHOLE FOODS MKT #10234,-102.34,17051.45
06/28/2024,CONSULTING PAYMENT - INVOICE #267,800.00,17851.45
06/30/2024,SPOTIFY USA SUBSCRIPTION,-9.99,17841.46
